Data,Masa,Xsu,Xco,Vbo,qCH4,xCH4,hB,C
08.03.2026,125040,0.228,0.949,0.658,9.92,0.413,0.816,0.74
07.03.2026,115340,0.231,0.952,0.663,9.95,0.418,0.821,0.76
06.03.2026,166170,0.229,0.948,0.661,9.93,0.415,0.818,0.75
05.03.2026,170980,0.232,0.951,0.665,9.96,0.420,0.823,0.76
04.03.2026,155900,0.227,0.947,0.657,9.91,0.412,0.815,0.74
03.03.2026,149440,0.23,0.95,0.66,9.94,0.416,0.819,0.75
02.03.2026,171750,0.233,0.953,0.666,9.97,0.421,0.824,0.76
01.03.2026,172030,0.226,0.946,0.656,9.90,0.411,0.814,0.74
28.02.2026,171300,0.234,0.954,0.667,9.98,0.422,0.825,0.77
27.02.2026,159380,0.229,0.949,0.659,9.93,0.414,0.817,0.75
,,,,,,,,
